pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-23 20:21:09,2019-03-23 20:27:24,1,1.6,7.0,2.15,0.0,12.95,yellow,credit card,Lenox Hill West,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-04 16:11:55,2019-03-04 16:19:00,1,0.79,5.0,0.0,0.0,9.3,yellow,cash,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019-03-27 17:53:01,2019-03-27 18:00:25,1,1.37,7.5,2.36,0.0,14.16,yellow,credit card,Alphabet City,West Village,Manhattan,Manhattan
2019-03-10 01:23:59,2019-03-10 01:49:51,1,7.7,27.0,6.15,0.0,36.95,yellow,credit card,Hudson Sq,Yorkville West,Manhattan,Manhattan
2019-03-30 13:27:42,2019-03-30 13:37:14,3,2.16,9.0,1.1,0.0,13.4,yellow,credit card,Midtown East,Yorkville West,Manhattan,Manhattan
2019-03-11 10:37:23,2019-03-11 10:47:31,1,0.49,7.5,2.16,0.0,12.96,yellow,credit card,Times Sq/Theatre District,Midtown East,Manhattan,Manhattan
2019-03-26 21:07:31,2019-03-26 21:17:29,1,3.65,13.0,2.0,0.0,18.8,yellow,credit card,Battery Park City,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-22 12:47:13,2019-03-22 12:58:17,0,1.4,8.5,0.0,0.0,11.8,yellow,,Murray Hill,Flatiron,Manhattan,Manhattan
2019-03-23 11:48:50,2019-03-23 12:06:14,1,3.63,15.0,1.0,0.0,19.3,yellow,credit card,East Harlem South,Midtown Center,Manhattan,Manhattan
2019-03-08 16:18:37,2019-03-08 16:26:57,1,1.52,8.0,1.0,0.0,13.3,yellow,credit card,Lincoln Square East,Central Park,Manhattan,Manhattan
2019-03-16 10:02:25,2019-03-16 10:22:29,1,3.9,17.0,0.0,0.0,17.8,yellow,cash,LaGuardia Airport,Astoria,Queens,Queens
2019-03-20 19:39:42,2019-03-20 19:45:36,1,1.53,6.5,2.16,0.0,12.96,yellow,credit card,Upper West Side South,Manhattan Valley,Manhattan,Manhattan
2019-03-18 21:27:14,2019-03-18 21:34:16,1,1.05,6.5,1.0,0.0,11.3,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan
2019-03-19 07:55:25,2019-03-19 08:09:17,1,1.75,10.5,0.0,0.0,13.8,yellow,cash,Lincoln Square West,Times Sq/Theatre District,Manhattan,Manhattan
2019-03-27 12:13:34,2019-03-27 12:25:48,0,2.9,11.5,0.0,0.0,14.8,yellow,cash,Financial District North,Two Bridges/Seward Park,Manhattan,Manhattan
2019-03-16 17:53:34,2019-03-16 18:13:57,3,2.09,13.5,0.0,0.0,16.8,yellow,cash,Upper West Side North,Clinton East,Manhattan,Manhattan
2019-03-15 12:36:05,2019-03-15 12:54:28,1,2.12,13.0,0.0,0.0,16.3,yellow,cash,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-23 20:50:49,2019-03-23 21:02:07,1,2.6,10.5,2.0,0.0,16.3,yellow,credit card,Midtown Center,East Harlem South,Manhattan,Manhattan
2019-03-27 06:28:36,2019-03-27 06:38:10,1,2.18,9.5,1.92,0.0,14.72,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan
2019-03-25 22:04:25,2019-03-25 22:11:30,6,1.08,6.5,1.08,0.0,11.38,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan
2019-03-21 03:37:34,2019-03-21 03:44:13,1,1.07,6.5,1.54,0.0,11.84,yellow,credit card,Penn Station/Madison Sq West,Kips Bay,Manhattan,Manhattan
2019-03-25 23:05:54,2019-03-25 23:11:13,1,0.8,5.5,2.3,0.0,11.6,yellow,credit card,Penn Station/Madison Sq West,Murray Hill,Manhattan,Manhattan
2019-03-28 17:20:54,2019-03-28 17:55:57,1,9.82,31.5,8.31,5.76,49.87,yellow,credit card,LaGuardia Airport,Sutton Place/Turtle Bay North,Queens,Manhattan
2019-03-04 12:15:39,2019-03-04 12:26:53,5,1.09,8.5,2.36,0.0,14.16,yellow,credit card,Sutton Place/Turtle Bay North,Midtown North,Manhattan,Manhattan
2019-03-24 09:53:28,2019-03-24 10:01:22,5,2.89,9.5,3.84,0.0,16.64,yellow,credit card,Lenox Hill West,Gramercy,Manhattan,Manhattan
2019-03-25 08:01:01,2019-03-25 08:13:27,1,1.9,10.0,3.0,0.0,16.3,yellow,credit card,Lincoln Square East,Midtown South,Manhattan,Manhattan
2019-03-03 02:45:36,2019-03-03 03:02:14,1,3.35,13.5,0.0,0.0,17.3,yellow,cash,West Chelsea/Hudson Yards,Seaport,Manhattan,Manhattan
